"","score","genre","review"
"1","8","연출배우","단순한 스토리에 집중력있고 긴장감 유지가 잘 된듯"
"2","8","연출배우","조인성은 깡패연기를…ㅎㅎㅎ"
"3","8","연출배우","영화 자체는 괜찮았습니다. 다만 너무 기대를 많이 걸었던 탓인지 아쉬운 부분들이 더 크게 느껴지네요. 특히 김윤석/허준호를 제외한 나머지 캐릭터들이 너무 헐겁습니다ㅠㅠ"
"4","9","스토리배우","올해 본 한국영화 중 최고.. 조인성배우님 연기 감칠났음"
"5","10","스토리","감동적이다. 같은 민족, 언제만날수 있을까?"
"6","9","연출배우","연기력 좋았고 몰입도 있었습니다!"
"7","10","영상미배우","배우들의 연기와 그 당시처럼 보이는 영상이 두근두근했습니다"
"8","10","연출배우","민족의 비극이 느꼐집니다.ㅠㅠ"
"9","10","영상미배우","태준기나랑망혼하자우"
"10","10","연출스토리","영화의 완성도가 매우 뛰어난 영화"
"11","10","스토리배우","담백하게 잘 만든 영화"
"12","10","연출배우","괜찮은 영화 시국이랑 맞물려서 더 흥미롭게 봤다"
"13","9","연출스토리","여러감정이 느껴지는 좋은 영화였다."
"14","7","배우","너무나 생생해서 영화를 보는 나도 상영관을 탈출하고 싶었다"
"15","10","스토리","신선한 주제ㆍ뻔하지 않은 전개"
"16","9","스토리","내용은 뻔하지만 재미있게 봤어요!"
"17","10","스토리배우","오랜만에 좋은 작품 봤어요"
"18","10","연출스토리","아 진짜 너무 많이 좋아요"
"19","6","배우","소문난잔치...지루하진않지만 내용이.."
"20","9","스토리배우","세 시간에 금방 가는 영화"
"21","10","스토리","스케일 크고 내용도 너무 좋네요"
"22","10","스토리배우","조인성 ㄹㅇ 개 연기잘해 경찰한테 난리치는장면에서 소름"
"23","10","연출스토리","재밌게 잘 보았습니다"
"24","10","스토리배우","마지막장면에 눈물이 찔끔"
"25","10","영상미배우","지루하지않게 잘봤습니다"
"26","10","배우OST","신파없이 담백하고 좋은영화"
"27","10","스토리배우","오버액션이 많지만 볼만합니다~"
"28","10","연출","오랫만에 재밌게 봤어요^^"
"29","10","영상미배우","너무너무 멋있고 너무너무 멋있음 정말 꽉 짜여진 내용과 영상 최고입니다. 보세요."
"30","10","배우OST","신파 없어서 너무 재밌었어요"
"31","10","연출스토리","재미있었고, 감동 한스푼?"
"32","7","영상미배우","너무 기대가 컸나!?^^ 뭔가 2% 부족한 느낌은 뭘까요~ 그래도 볼만해요~ 한국인이 좋아하는 결말엔 부족~!"
"33","10","스토리배우","스토리가 현실적이어서 좋았어요"
"34","10","연출배우","배우는 연기에 몰입, 난 영화에 몰입 <U+0001F44D><U+0001F3FB>"
"35","10","스토리배우","역시 배우들 연기가 좋았고 세트및 연출도 좋았습니다.마지막은 실제결말과는 다르다고 하지만 메세지 전달은 뭉쿨했어요. 좋은영화보았어요."
"36","10","연출배우","긴박한상황에서도 이념을 초월한 동포사랑을 느끼게해준 배우들의 호연"
"37","7","배우","맘이 묵묵하고 좀 찐했어요. 생동감 있는 마직막신이 너무 좋았습니다."
"38","8","스토리배우","소말리아의 수도 모가디슈.."
"39","10","스토리","모가디슈! 재밌네요."
"40","10","연출스토리","대한 사람은 어디서나 멋있다"
"41","10","연출배우","간만에 집중해서 즐길 수 있는 영화네요."
"42","10","연출배우","영화관에서 보세요!!!"
"43","10","스토리배우","시간가는지 모르고 봤어요 요즘 시기에 딱 맞는 영화"
"44","10","연출","남한과 북한의 마지막 장면 찡하네요"
"45","10","연출스토리","긴장감 넘치고 재밌어요"
"46","10","연출","간만에 보는 부족함 없는 영화"
"47","10","연출스토리","탈출하는 동안에 심장쫄리고 넘 재밌어요!"
"48","10","영상미","그때 그 상황을 간접적으로 느낄 수 있어서 좋았습니다."
"49","10","스토리배우","두 번이나, 봤어요., 실화라니 더 기장되더라구요"
"50","10","연출배우","너무 재밌었습니다."
"51","10","연출스토리","평점 높은 이유가 있네요 재밌게 봤어요"
"52","10","연출스토리","완전재밌었음!!진짜 최고!!"
"53","10","스토리영상미","박진감 넘치고 재밌네요"
"54","8","스토리영상미","명품배우들의 명품연기 잘봤습니다"
"55","10","스토리영상미","감사합니다 잘보았습니다"
"56","10","연출스토리","쿠키영상이없어서 아쉬웠지만 그래서 더 깔끔한 마무리가 됐던것같아요. 군더더기없이 기승전결 완벽한 영화"
"57","10","연출배우","너무 슬프고 마음 아픈 영화네요"
"58","10","연출스토리","탈레반 그거랑 비슥하다고 생각했어요"
"59","10","연출배우","재밌는데 총알이 다피해가요 ㅜ"
"60","10","스토리배우","완전 재밌었어요 강추강추"
"61","9","연출배우","실화라니 더 신기하기도하고 몰입해서 볼 수 있었습니다."
"62","10","스토리","간만에 재밌게 본 영화"
"63","10","스토리배우","믿고보는배우님들의연기 너무좋았습니다 마지막장면 북한동포와모른척헤여져야하는현실 너무나슬프네요"
"64","10","배우","오랜만에 한국형 블록버스터 본거 같아 기뻤습니다 보는 내내 블랙호크다운이 생각나는 건 왜일까 ㅋ"
"65","10","스토리배우","아프가니스칸이 생각나네요"
"66","10","스토리","불필요한 관계성이나 신파 없이 담백해서 좋았다"
"67","10","연출","긴장감 넘치게 봤어요"
"68","10","연출배우","두근두근 넘나꿀잼ㅎㅎ"
"69","8","스토리배우","생각보다 엄청 재미있어요!"
"70","9","연출배우","재밌어요 전혀 몰랐던 내용이지만 배우들의 연기력과 연출이 당시의 분위기를너무 잘 표현한 것 같아요 액션영화만 재밌는 감독이 아니라고 생각. 소말리아 내전에 대해 공부 마렵네요..."
"71","10","연출영상미","재밌고 여운이 남는 영화예요"
"72","10","연출스토리","아프카니스탄이 저 상황이겠다 싶었어요"
"73","10","스토리배우","재밋게 봤어요! ;)"
"74","9","연출배우","탄탄한 연기력에 긴박감넘치는 연출도 굿"
"75","10","스토리영상미","전 한국영화 뻔해서 무조건 외국영화만 보는 사람이지만 요즘 정세 때문에 흥미가 생겨 보게 되었습니다. 내전상황이 있다면 어떠할 지 생각해 볼 수 있는 시간이었습니다."
"76","8","스토리영상미","가볍게 생각하고 봤는데 꽤 무거웠다. 그래서 더 만족스러웠다."
"77","8","연출스토리","재미있어요..지금도 우리가 알지 못하는 일들이 어딘가에서 너무 많이 일어나고 있겠죠."
"78","8","스토리","몰입감를 주는 전개와 배우들의 연기력 좋아요"
"79","10","스토리","따뜻함, 박진감, 그리고 배우들의 열연~~^^"
"80","10","연출스토리","코믹코드 감동코드 적절한 연출"
"81","10","연출스토리","감동적,긴박감, 연기력 쩜<U+2764> 구성, 연출까지 완벽했습니다! 너무 재밌게 봤어요~^^"
"82","10","스토리영상미","소말리아 현지 에서 전쟁같은 삶이 느까졨어요"
"83","9","연출배우","끝난 후 많은 생각을 하게 되는 영화였습니다 가벼운 영화는 아니지만 무겁지 않게 담아낸 영화입니다"
"84","10","연출스토리","근래에 보기 드물게 2시간여를 몰입하며 보았네요. 감사합니다."
"85","10","연출배우","웃음과 잔잔한 감동의 멋진 하모니네요^^"
"86","10","스토리영상미","오랫만에 정말 영화다운 영화를 봤습니다. 역시 류승완 감독이구나라고 느켰고요. 스토리,카체이싱 등 볼거리가 많고 다시한번더 남과 북의 분단을 느끼는 계기가 됐습니다"
"87","10","연출","올해의 대한민국 최고의 영화입니다"
"88","10","스토리배우","실감나게 재미 있었읍니다. 웃고 슬프고 강한 대한민국인것 같아 자부심을 느낍니다."
"89","10","스토리배우","기대이상입니다. 아프카니스탄도 영화와 같지 않을까하네요."
"90","8","영상미배우","돈주고 보기 아깝지않은 영화"
"91","10","연출배우","오랜만에 2시간 순삭 굿이엏습니다"
"92","10","연출스토리","너무 재밌게 시간 가는줄 모르고 봤어요 아프간 사태로 더 몰입할수 있었어요"
"93","10","연출스토리","다각도의 역사적인 관점에서 볼 수 있었음, 우리나라 광주사태 지금 아프카니스탄의 탈레반 등등 스토리 좋았어요"
"94","10","스토리배우","적당히 재미있어요^^"
"95","10","영상미","영화 상영 내리기전에 한번 더 보고 싶네요"
"96","10","연출","너무 잘봤습니다 감독님...배우님..."
"97","10","연출스토리","100점만점에 100점 배우들의 연기 각본 연출 모두 완벽해요 마침 아프간 국민 수송작전이 있어 영화에 더 몰입했네요"
"98","10","배우","그럭저럭 재미있게 잘 보았습니다"
"99","10","영상미배우","진지하지만 감동적인 영상미가 좋았습니다"
"100","10","스토리","볼만합니다 연기 잘하시네요"
